,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
10313,33449879,Tres ambientes con balcón terraza,6066328,Gabriel,,Villa Urquiza,-34.57768,-58.48988,Entire home/apt,1924,15,2,2019-11-21,0.21,2,241,1,
10314,33450836,BOUTIQUE LOFT IN PALERMO,53994774,Javier Y Eugenia,,Palermo,-34.5769,-58.43616,Entire home/apt,4233,3,76,2020-03-13,2.8,1,335,13,
10315,33451669,"Studio excelente ubicacion, vintage y confortable",219450996,Martin,,Constitucion,-34.61846,-58.38568,Entire home/apt,961908,3,2,2019-04-22,0.08,3,365,0,
10316,33454401,Mi Casa Taller,223861053,Claudia,,Villa Urquiza,-34.56404,-58.48658,Private room,800,2,1,2019-04-06,0.04,1,260,0,
10317,33463378,Habitación privada en casa de artistas,211570022,Maia,,Balvanera,-34.60923,-58.41278,Private room,962,2,26,2020-03-07,0.97,5,89,0,
10318,33463853,Demaria Apartment Comfort 1,252117167,Horacio,,Palermo,-34.57492,-58.4222,Entire home/apt,5900,1,10,2020-01-01,0.37,1,365,0,
10319,33467379,Palermo SoHo 1 BEDROOM AVAIL ONLY!! GREAT VALUE,52088060,Ba,,Palermo,-34.58833,-58.42614,Private room,1924,6,1,2020-04-03,0.06,4,179,0,
10320,33469471,Cálido refugio en el centro de Buenos Aires,252168905,Mila,,San Nicolas,-34.60011,-58.37981,Entire home/apt,1742,2,19,2019-12-16,0.7,1,300,0,
10321,33470695,PALERMO Departamento entero para 4 personas,246449164,Elba Angelica,,Palermo,-34.58457,-58.42386,Entire home/apt,4811,1,12,2019-12-29,0.44,1,365,0,
10322,33471855,Dpto. renovado total en el centro: ubicación única,252191614,Luciano,,Retiro,-34.59727,-58.37833,Entire home/apt,2886,2,15,2020-02-29,0.61,1,180,0,
10323,33471898,"CASA en PALERMO, entera y amoblada Wifi 300 MEGAS.",248273956,Orlando,,Palermo,-34.5887,-58.43381,Entire home/apt,6253,2,40,2019-08-17,1.47,6,280,0,
10324,33472223,Cálido Studio en Palermo Hollywood,62950100,Diego,,Palermo,-34.5767,-58.43817,Entire home/apt,3300,3,14,2020-02-19,0.58,1,179,0,
